# -------------------------------------------------------------------------
#
#  Copyright (c) 1999 Network Appliance, Inc.
#  All rights reserved.
#
# -------------------------------------------------------------------------
#
#  This file maps the short MIB names in the first column to the
#  SNMP object identifier (OID) in the second column.  These OIDs
#  are appropriate for use with the "snmp traps" command for defining
#  your own traps.  See the online documentation for details.
#
#  Refer to the appropriate MIB (rfc1213.mib or netapp.mib) for
#  a complete description of each object.
#
# -------------------------------------------------------------------------

pclNfsV2SetattrPerCent         snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.52.1
pclNfsV2RootPerCent            snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.53.1
pclNfsV2LookupPerCent          snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.54.1
pclNfsV2ReadlinkPerCent        snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.55.1
pclNfsV2ReadPerCent            snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.56.1
pclNfsV2WrcachePerCent         snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.57.1
pclNfsV2WritePerCent           snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.58.1
pclNfsV2CreatePerCent          snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.59.1
pclNfsV2RemovePerCent          snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.60.1
pclNfsV2RenamePerCent          snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.61.1
pclNfsV2LinkPerCent            snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.62.1
pclNfsV2SymlinkPerCent         snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.63.1
pclNfsV2MkdirPerCent           snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.64.1
pclNfsV2RmdirPerCent           snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.65.1
pclNfsV2ReaddirPerCent         snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.66.1
pclNfsV2StatfsPerCent          snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.67.1
pclNfsV3NullPerCent            snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.68.1
pclNfsV3GetattrPerCent         snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.69.1
pclNfsV3SetattrPerCent         snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.70.1
pclNfsV3LookupPerCent          snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.71.1
pclNfsV3AccessPerCent          snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.72.1
pclNfsV3ReadlinkPerCent        snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.73.1
pclNfsV3ReadPerCent            snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.74.1
pclNfsV3WritePerCent           snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.75.1
pclNfsV3CreatePerCent          snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.76.1
pclNfsV3MkdirPerCent           snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.77.1
pclNfsV3SymlinkPerCent         snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.78.1
pclNfsV3MknodPerCent           snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.79.1
pclNfsV3RemovePerCent          snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.80.1
pclNfsV3RmdirPerCent           snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.81.1
pclNfsV3RenamePerCent          snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.82.1
pclNfsV3LinkPerCent            snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.83.1
pclNfsV3ReaddirPerCent         snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.84.1
pclNfsV3ReaddirPlusPerCent     snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.85.1
pclNfsV3FsstatPerCent          snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.86.1
pclNfsV3FsinfoPerCent          snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.87.1
pclNfsV3PathconfPerCent        snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.88.1
pclNfsV3CommitPerCent          snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.89.1
trpcCalls                      snmp.1.3.6.1.4.1.789.1.3.2.1.1.0
trpcBadCalls                   snmp.1.3.6.1.4.1.789.1.3.2.1.2.0
trpcNullRecvs                  snmp.1.3.6.1.4.1.789.1.3.2.1.3.0
trpcBadLens                    snmp.1.3.6.1.4.1.789.1.3.2.1.4.0
